swab_id	lineage	date	major	site_id	locale	longitude	latitude
Bd_MLA1	GPL	2009	Global	Americas	Argentina	-65.98798	-32.406266
Bd_Lb_Aber	GPL	2009	Global	Australia	Australia	149.545924	-33.378091
1_BdBE1	GPL	2015	Global	Europe	Belgium	4.582998	50.788537
10_BdBD9	GPL	2016	Global	Europe	Belgium	5.023508	51.084518
11_BdBE10	GPL	2016	Global	Europe	Belgium	5.164205	51.170717
13_Ab2_7	GPL	2016	Global	Europe	Belgium	5.106981	51.325333
15_Aly3	GPL	2016	Global	Europe	Belgium	5.761544	50.758379
2_BdBE2	GPL	2015	Global	Europe	Belgium	5.164205	51.170717
20_Aly19	GPL	2016	Global	Europe	Belgium	5.761544	50.758379
3_BdBD3	GPL	2015	Global	Europe	Belgium	4.201114	50.69081
4_BdBE4	GPL	2015	Global	Europe	Belgium	5.082457	51.322893
5_BdBE5	GPL	2016	Global	Europe	Belgium	5.761544	50.758379
6_BdBD6	GPL	2016	Global	Europe	Belgium	5.761544	50.758379
8_BdBE7	GPL	2016	Global	Europe	Belgium	5.023508	51.084518
9_BdBE8	GPL	2016	Global	Europe	Belgium	5.164205	51.170717
DCB125	GPL	2011	Global	Africa	Burundi	29.6284	-3.94108
DCB195	GPL	2011	Global	Africa	Burundi	29.27305	-3.34964
Bd_JEL267	GPL	1999	Global	Americas	Canada	-73.19131	45.56501
172_Yuan1973	GPL	2017	Global	Asia	China	108.080757	26.379936
175_Yuan2294	GPL	2017	Global	Asia	China	107.909856	25.244247
V_RFM526	GPL	2002	Global	Asia	China	99.26	24.03
Bd_ev001	GPL	2010	Global	Americas	Colombia	-73.919444	4.436667
V_VF1594	GPL	2012	Global	Americas	Colombia	-78.18416303	2.948784968
V_QCAZA17213	GPL	1998	Global	Americas	Ecuador	-78.12381	0.50625
V_QCAZA43574	GPL	2009	Global	Americas	Ecuador	-79.218372	-2.718983
V_QCAZA44	GPL	1984	Global	Americas	Ecuador	-79.01597	-1.40222
V_QCAZA46830	GPL	2009	Global	Americas	Ecuador	-78.6245	1.04273
V_QCAZA46845	GPL	2010	Global	Americas	Ecuador	-78.62405	1.04186
V_QCAZA50343	GPL	2010	Global	Americas	Ecuador	-79.225412	-2.705728
V_QCAZA8762	GPL	1993	Global	Americas	Ecuador	-79.371795	-2.555483
